X,thresh,start_time,end_time,id,centr,conflict,state,turn,dur,ang_vel,outcome,dist2pred,dist2fc,diff_flock_start,diff_flock_end,fl_turn,mainFlock_size,subFlock_size,dist_group,fl_size
5545,2,290,292.6,8,1.63206,0,2,46.8454179,2.6,18.01746842,split,88.2106,2.56164,3.263401165,-42.98294829,0.599068439,9,9,>60,s
5546,2,357.6,359.6,8,2.30077,0,2,-7.833829927,2,-3.916914963,split,17.4382,3.42389,-3.836976173,-27.24509593,-31.24194968,8,8,Oct/20,s
5547,2,65.8,66.2,9,0.982377,0,2,-7.597971254,0.4,-18.99492813,turn,474.361,0.5748,-4.075838015,10.52932209,7.007188855,9,9,>60,s
5548,2,125.4,125.6,9,1.70533,1,2,-79.68240164,0.2,-398.4120082,split,480.214,1.04352,2.101266599,66.70996031,-15.07370793,9,9,>60,s
5549,2,321.6,322.8,9,1.40327,1,2,89.67009625,1.2,74.72508021,split,54.7551,1.76133,-1.993309903,-95.71284025,-4.049434105,9,9,50-60,s
5550,2,414.2,414.8,9,0.316267,0,2,-23.81128365,0.6,-39.68547276,turn,39.7081,1.05407,-2.8753654,-3.893331724,-24.82924998,10,10,30-40,s
5551,2,477.2,478.8,9,6.98178,1,2,4.436171058,1.6,2.772606911,split,29.0466,4.49758,2.40174071,48.46957503,50.50400538,9,9,20-30,s
5552,2,495.2,497.4,9,7.30509,0,2,-16.87841261,2.2,-7.67200573,split,58.061,4.53868,6.320514177,24.41147265,1.212545873,8,8,50-60,s
5553,2,45.2,47.8,0,1.53964,1,2,-23.66254613,2.6,-9.10097928,split,82.3811,1.05586,6.442042189,21.99756424,-8.107024079,8,8,>60,s
5554,2,64.2,66.4,0,1.64913,1,2,0.346789395,2.2,0.157631543,turn,493.161,1.52683,-0.353690081,-6.319603046,-5.619123571,8,8,>60,s
5555,2,118.8,119.4,0,0.659589,1,2,-4.189536212,0.6,-6.982560353,turn,48.4296,2.4923,0.104430525,2.247063686,-2.046903051,8,8,40-50,s
