"","X","thresh","start_time","end_time","id","centr","conflict","state","turn","dur","ang_vel","outcome","dist2pred","dist2fc","diff_flock_start","diff_flock_end","fl_turn","mainFlock_size","subFlock_size","dist_group","fl_size"
"5515",12810,2,195.6,196.8,23,0.317098,1,2,-13.351915724599,1.20000000000002,-11.1265964371657,"turn",67.0719,4.2889,-3.04849478760161,8.34880604950024,-1.95461488749713,14,14,">60","b"
"5516",12811,2,490.2,492.2,23,4.77909,1,2,-36.9493151830496,2,-18.4746575915248,"turn",277.688,7.03519,-14.0170623884893,-15.7075484066617,-38.639801201222,23,23,">60","b"
"5517",12815,2,107.8,109,25,8.89614,0,2,-6.2779016391112,1.2,-5.23158469925932,"turn",28.7387,9.39972,14.1027164117241,3.22823675825373,-17.1523812925815,24,24,"20-30","b"
"5518",12816,2,217.2,221.2,25,3.03804,0,2,-12.641405550162,4,-3.1603513875405,"turn",73.1695,6.149,7.95371788003129,4.32534377514057,-16.2697796550527,17,17,">60","b"
"5519",12817,2,266.6,269.6,25,3.73393,1,2,3.65445229801293,3,1.21815076600431,"turn",209.263,5.26182,3.91537967222161,0.840169528689664,0.579242154480989,8,8,">60","s"
"5520",12818,2,320.4,322.6,25,4.66553,1,2,2.33909524498019,2.20000000000005,1.06322511135461,"turn",92.0228,9.18809,2.19253627922357,-5.9599070475899,-5.81334808183328,25,25,">60","b"
"5521",12821,2,145.8,146.8,26,5.32243,1,2,2.48327435023349,1,2.48327435023349,"turn",55.1798,3.84605,-5.34981677812603,-10.6626329740256,-2.82954184566606,20,20,"50-60","b"
"5522",12823,2,371.4,374.8,26,3.73092,1,2,-5.0646295760208,3.40000000000003,-1.48959693412375,"turn",40.641,8.86758,5.73375316518393,4.95442398933742,-5.84395875186731,25,25,"40-50","b"
"5523",12831,2,34.6,37.4,3,7.53125,0,2,-1.51913796550785,2.8,-0.54254927339566,"turn",111.992,3.79353,-0.74317380449404,-0.401149874885992,-1.1771140358998,16,16,">60","b"
"5524",12832,2,68.8,71,3,2.02691,1,2,-28.5631640651587,2.2,-12.983256393254,"turn",414.857,5.72464,-0.00671774881215315,8.50207705305112,-20.0543692632955,25,25,">60","b"
"5525",12836,2,476.2,480.2,3,2.13896,0,2,-5.59732884817088,4,-1.39933221204272,"turn",91.2747,4.27961,6.09455183241267,15.6401242985611,3.94824361797755,25,25,">60","b"
"5526",12838,2,262,262.6,5,6.19777,0,2,4.80015282634993,0.600000000000023,8.00025471058291,"turn",82.4044,9.05306,-3.40286183135272,3.04278169955462,11.2457963572573,26,26,">60","b"
"5527",12841,2,51.4,51.8,7,22.4457,0,2,-2.93428940448452,0.399999999999999,-7.33572351121132,"turn",66.8927,18.2423,-0.776652027133066,-1.42180881096621,-3.57944618831766,20,20,">60","b"
"5528",12843,2,492,494,7,3.9402,1,2,24.6023182834059,2,12.3011591417029,"turn",48.2211,6.86574,2.45670086480499,-39.4126297163327,-17.2670122977319,26,26,"40-50","b"
"5529",12845,2,193,194,8,19.0688,0,2,22.6023942563747,1,22.6023942563747,"turn",31.2373,27.9185,-13.1457305235762,11.4949274774203,47.2430522573711,21,21,"30-40","b"
"5530",12847,2,403.8,404.4,8,5.2459,1,2,4.51653660846509,0.599999999999966,7.52756101410891,"turn",70.4488,6.26908,-5.33342360528383,2.64140621336688,12.4913664271158,24,24,">60","b"
"5531",12854,2,352.6,356.6,12,12.0649,1,2,-4.11563037862587,4,-1.02890759465647,"turn",56.7279,19.9502,4.94044292084856,8.52519931061699,-0.530873988857446,25,25,"50-60","b"
"5532",12855,2,411,412,12,1.67746,0,2,17.1047050674707,1,17.1047050674707,"turn",39.0407,4.32901,12.8501654084277,37.3393013542612,41.5938410133042,23,23,"30-40","b"
"5533",12857,2,245.2,247.4,13,9.3093,1,2,10.8300661088514,2.20000000000002,4.92275732220516,"turn",471.174,17.1808,7.17744189617184,-5.93112863075445,-2.27850441807486,27,27,">60","b"
"5534",12858,2,338.4,342.4,13,9.7999,1,2,-0.928192077278852,4,-0.232048019319713,"turn",124.824,17.0148,1.02428304055141,9.72437500179889,7.77189988396863,24,24,">60","b"
"5535",12864,2,288,291.2,16,2.37408,1,2,16.7470987573013,3.19999999999999,5.23346836165668,"turn",30.4817,4.52558,9.07144717159181,35.743271139387,43.4189227250965,26,26,"30-40","b"
"5536",12868,2,259.2,260.4,18,5.3804,0,2,15.5045521513981,1.19999999999999,12.9204601261652,"turn",78.9358,1.95322,3.6505493130828,-14.2401498603919,-2.38614702207666,26,26,">60","b"
"5537",12872,2,306.4,308.8,20,5.00524,0,2,3.86019611295631,2.40000000000003,1.60841504706511,"turn",448.802,6.80547,-1.63899001117084,-17.701361512897,-12.2021753887698,17,17,">60","b"
"5538",12875,2,18.2,21.2,21,12.8944,0,2,-25.287584924474,3,-8.42919497482468,"turn",106.654,19.4591,-5.69670629877529,7.08655783559585,-12.5043207901029,12,12,">60","b"
"5539",12876,2,32.6,36.6,21,5.46172,1,2,-4.49742046871557,4,-1.12435511717889,"turn",121.759,9.42848,8.08543430738844,3.44307012568477,-9.13978465041924,16,16,">60","b"
"5540",12878,2,178.4,180.2,21,6.21691,1,2,0.407302882325804,1.79999999999998,0.226279379069893,"turn",185.171,4.62111,0.0528991474595326,-4.19303571452572,-3.83863197965945,6,6,">60","s"
"5541",12879,2,189,191,21,1.80502,0,2,-0.245637024896002,2,-0.122818512448001,"turn",276.141,9.04854,4.40355215335862,29.7867618800281,25.1375727017735,18,18,">60","b"
"5542",12883,2,388,390,21,4.07861,1,2,5.72652865357206,2,2.86326432678603,"turn",81.4703,7.95725,12.3427115097982,-2.69090009065964,-9.3070829468858,24,24,">60","b"
"5543",12884,2,403.4,407.4,21,3.296,0,2,5.0651226719939,4,1.26628066799848,"turn",70.9938,4.44122,-7.95913583238368,23.5795910379105,36.6038495422881,24,24,">60","b"
"5544",12885,2,455,459,21,22.3009,0,2,10.386902644235,4,2.59672566105875,"turn",175.041,16.0671,1.08828818319239,-9.23349287718073,0.0651215838618861,16,16,">60","b"
"5545",12888,2,11.2,11.6,23,2.86759,0,2,-14.1088166696589,0.4,-35.2720416741472,"turn",41.0791,2.01335,-0.639127054788161,16.3188303806887,2.84914076581794,17,17,"40-50","b"
"5546",12890,2,287.2,289.8,23,6.29626,1,2,1.61372367957863,2.60000000000002,0.620662953684082,"turn",31.231,4.70936,-5.02975176146511,19.2421328955958,25.8856083366396,25,25,"30-40","b"
"5547",12892,2,285.2,288.2,24,2.64845,1,2,1.08837022766302,3,0.362790075887673,"turn",49.8591,2.5729,0.231098600617711,13.4885714140049,14.3458430410502,23,23,"40-50","b"
"5548",12893,2,350.4,351.2,24,17.3189,1,2,3.65457046932974,0.800000000000011,4.56821308666211,"turn",45.4085,12.3898,-24.8734834051771,-48.5752901225265,-20.0472362480197,24,24,"40-50","b"
"5549",12894,2,280.4,280.8,0,1.52723,1,2,-7.55970989153446,0.400000000000034,-18.8992747288345,"turn",175.712,9.69625,1.95750480453491,11.9030930094525,2.38587831338316,27,27,">60","b"
"5550",12897,2,254.6,257,1,4.36451,0,2,3.82539363144286,2.40000000000001,1.59391401310119,"turn",38.1951,8.04642,4.79412197439108,5.38036181756043,4.41163347461221,26,26,"30-40","b"
"5551",12904,2,176.8,180.8,5,0.856059,1,2,-4.1083392116852,4,-1.0270848029213,"turn",326.27,4.61964,0.11967236057686,-3.40157989726034,-7.62959146952239,24,24,">60","b"
"5552",12905,2,235.6,238,6,6.06962,1,2,-0.746376375368879,2.40000000000001,-0.310990156403699,"turn",53.5398,8.762,15.9285469787552,-33.3623008646161,-50.0372242187401,22,22,"50-60","b"
"5553",12906,2,452.6,455.6,6,20.2792,1,2,-24.3922081545886,3,-8.13073605152954,"turn",113.204,20.312,-6.30560062611366,2.43958155959548,-15.6470259688795,23,23,">60","b"
"5554",12907,2,248,250.2,8,6.6219,0,2,-5.79742561838608,2.19999999999999,-2.63519346290278,"turn",514.998,13.4447,2.69779963790157,19.2279015718456,10.7326763155579,26,26,">60","b"
"5555",12908,2,335.6,336.2,8,2.85793,0,2,0.685052546376166,0.599999999999966,1.14175424396034,"turn",80.0232,5.56469,-18.7250005958918,-15.7832745405836,3.62677860168438,27,27,">60","b"
"5556",12910,2,459,460.8,10,1.55027,0,2,-0.0984986032587832,1.80000000000001,-0.0547214462548792,"turn",119.818,6.82993,-1.23154524254775,-14.9802021161686,-13.8471554768796,24,24,">60","b"
"5557",12912,2,426.2,427,11,8.80447,0,2,-4.91520929008963,0.800000000000011,-6.14401161261195,"turn",433.743,5.41165,-5.98006323624624,-1.07518978021782,-0.0103358340612113,24,24,">60","b"
"5558",12915,2,296,298.2,12,4.78301,1,2,1.99294582165943,2.19999999999999,0.905884464390653,"turn",86.3216,3.44473,-1.28553384321947,-3.26499016221281,0.0134895026660895,27,27,">60","b"
"5559",12916,2,312.6,314.2,12,6.30627,1,2,-5.52812408356943,1.59999999999997,-3.45507755223097,"turn",44.0093,2.33288,-3.95215380532657,5.5042315467436,3.92826126850074,27,27,"40-50","b"
