"","time","lon","lat","speed","focal_head","flock_lat","flock_lon","ang_vel","turnornot","avt"
"90",17.6,-0.596644,51.373939,15.0067142998756,1.71913289567287,51.3737188571429,-0.596451714285714,-18.1360254329967,"1","-1"
"91",17.8,-0.596584,51.373935,15.0446665080407,1.53213584227998,51.3737367142857,-0.596408,-18.1360254329967,"1","-1"
"92",18,-0.596526,51.373936,14.3941954836838,1.53278950619791,51.3737544285714,-0.596364,-18.1360254329967,"1","-1"
"93",18.2,-0.596467,51.373937,14.6419748140343,1.44908868290176,51.373774,-0.596323285714286,-18.1360254329967,"1","-1"
"94",18.4,-0.596412,51.37394,13.7410047811333,1.40620390016139,51.3737965714286,-0.596286142857143,-18.1360254329967,"1","-1"
"95",18.6,-0.596358,51.373944,13.5747228898089,1.25009205579651,51.3738225714286,-0.596254714285714,-18.1360254329967,"1","-1"
"96",18.8,-0.596304,51.373952,14.1104910472874,1.07712478336154,51.3738505714286,-0.596230428571429,-18.1360254329967,"1","-1"
"97",19,-0.596254,51.373964,14.0799848005406,0.897754142806958,51.37389175,-0.596217375,-18.1360254329967,"1","-1"
"98",19.2,-0.596209,51.37398,14.2705817264606,0.790039307805863,51.373921875,-0.5961985,-18.1360254329967,"1","-1"
"99",19.4,-0.596166,51.373999,15.0091818045719,0.643521109801855,51.373952875,-0.59618225,-18.1360254329967,"1","-1"
"100",19.6,-0.596129,51.374021,15.289721658519,0.464997989805744,51.37398475,-0.59617,-18.1360254329967,"1","-1"
"101",19.8,-0.596102,51.374045,14.9285485425675,0.247507407917895,51.374017625,-0.59616275,-18.1360254329967,"1","-1"
"102",20,-0.596085,51.374075,17.2035299109034,0.182456406523095,51.374051,-0.59616075,-18.1360254329967,"1","-1"
"103",20.2,-0.596073,51.374104,16.3954287931981,0.0614219206636873,51.374084125,-0.596162125,13.7480455122017,"1","1"
"104",20.4,-0.596069,51.374133,16.1537277581716,-0.0148603381255441,51.3741165,-0.59616625,13.7480455122017,"1","1"
"105",20.6,-0.59607,51.374163,16.6810809136943,-0.0741663852964203,51.374148625,-0.596171,13.7480455122017,"1","1"
"106",20.8,-0.596075,51.374193,16.725220500223,-0.137475912110885,51.37418075,-0.596176375,13.7480455122017,"1","1"
"107",21,-0.596084,51.374222,16.2768443920888,-0.167498613456816,51.374211875,-0.596183125,13.7480455122017,"1","1"
"108",21.2,-0.596095,51.374251,16.3521278813267,-0.157867753734397,51.374242875,-0.59618825,13.7480455122017,"1","1"
"109",21.4,-0.596105,51.374279,15.7633217547283,-0.16199560723302,51.374273375,-0.596190375,13.7480455122017,"1","1"
"110",21.6,-0.596116,51.374309,16.9005245393501,-0.167469893776118,51.37430375,-0.59619025,13.7480455122017,"1","1"
"111",21.8,-0.596127,51.374338,16.3520484846622,-0.132909581795518,51.374333625,-0.596187125,13.7480455122017,"1","1"
"112",22,-0.596136,51.374368,16.8276592488656,-0.0574376122939324,51.374364125,-0.59618075,13.7480455122017,"1","1"
"113",22.2,-0.59614,51.374399,17.2636847085321,0.0139241955740438,51.374394875,-0.596171,13.7480455122017,"1","1"
